,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,28.56401658683666,77.21029203003012,Shooters Bar & Grill,28.565140684963797,77.20824480056761,Restaurant
1,28.56401658683666,77.21029203003012,Kuldeep Parantha's,28.562384817581382,77.20746981212008,Snack Place
2,28.56401658683666,77.21029203003012,Hot Box,28.560248029570904,77.2105802361386,Café
3,28.56401658683666,77.21029203003012,Gupta Tea Stall,28.560325170119466,77.20845235561727,Breakfast Spot
4,28.56401658683666,77.21029203003012,Rhythm Restro-Bar,28.560570499444633,77.20779418945312,Indian Restaurant
5,28.563916575328275,77.21642203567984,Domino's Pizza,28.567,77.22,Pizza Place
6,28.563916575328275,77.21642203567984,Cakeheart Bakery,28.564245,77.219047,Bakery
7,28.563916575328275,77.21642203567984,Jughead's Fast Food,28.561205333701192,77.21657065989525,Fast Food Restaurant
8,28.563916575328275,77.21642203567984,Shri vinayaka restaurant,28.563821815670977,77.2195292670618,Indian Restaurant
9,28.563916575328275,77.21642203567984,Jughead's,28.56125364203609,77.21790120017552,Pizza Place
10,28.563916575328275,77.21642203567984,Ahadsons Foods- Kashmiri Wazwan,28.5606978020289,77.21824927153258,Indian Restaurant
11,28.563916575328275,77.21642203567984,Daichi,28.56810915060104,77.21518957692967,Japanese Restaurant
12,28.563916575328275,77.21642203567984,Qureshi Kebab,28.56767019868431,77.21895102518423,Indian Restaurant
13,28.563916575328275,77.21642203567984,Qureshi's Kebab Corner,28.567655559834943,77.21906891938887,Indian Restaurant
14,28.563816287290805,77.22255201004155,Domino's Pizza,28.567,77.22,Pizza Place
15,28.563816287290805,77.22255201004155,McDonald's,28.56289116920243,77.22439711558343,Fast Food Restaurant
16,28.563816287290805,77.22255201004155,McDonald's,28.563409479540937,77.2243403543175,Fast Food Restaurant
17,28.563816287290805,77.22255201004155,The Skyhigh,28.563326,77.22475,Comfort Food Restaurant
18,28.563816287290805,77.22255201004155,Jom Jom,28.56287,77.2248,Malay Restaurant
19,28.563816287290805,77.22255201004155,Cake Palace,28.56763655872829,77.22115731151872,Bakery
20,28.563816287290805,77.22255201004155,Daitchi,28.56819754073076,77.22247657246882,Chinese Restaurant
21,28.563816287290805,77.22255201004155,Kofuku,28.563152,77.22759,Japanese Restaurant
22,28.56371572272947,77.22868195302902,Domino's Pizza,28.566,77.233,Pizza Place
23,28.56371572272947,77.22868195302902,Kofuku,28.563152,77.22759,Japanese Restaurant
24,28.56371572272947,77.22868195302902,McDonald's,28.56289116920243,77.22439711558343,Fast Food Restaurant
25,28.56371572272947,77.22868195302902,The Skyhigh,28.563326,77.22475,Comfort Food Restaurant
26,28.56371572272947,77.22868195302902,Jom Jom,28.56287,77.2248,Malay Restaurant
27,28.56371572272947,77.22868195302902,McDonald's,28.563409479540937,77.2243403543175,Fast Food Restaurant
28,28.56361488164948,77.23481186455597,Le Bistro du Parc,28.56616993623438,77.23337893032114,French Restaurant
29,28.56361488164948,77.23481186455597,Moolchand Parathe Wala,28.563551531054078,77.23429470072004,Indian Restaurant
30,28.56361488164948,77.23481186455597,Flavours Defence Colony,28.56633353837307,77.23381472548625,Italian Restaurant
