,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category
0,28.56401658683666,77.21029203003012,Himalaya Dhaba,28.561532603044565,77.21121466276647,290,Indian Restaurant
1,28.56401658683666,77.21029203003012,Rhythm Restro-Bar,28.560570499444633,77.20779418945312,454,Indian Restaurant
2,28.56401658683666,77.21029203003012,mann mess,28.560317,77.212707,474,Indian Restaurant
3,28.56401658683666,77.21029203003012,Sri Balaji South Indian Restaurant,28.562190933153,77.2108662407845,210,South Indian Restaurant
4,28.563916575328275,77.21642203567984,Shri vinayaka restaurant,28.563821815670977,77.2195292670618,303,Indian Restaurant
5,28.563916575328275,77.21642203567984,Ahadsons Foods- Kashmiri Wazwan,28.5606978020289,77.21824927153258,400,Indian Restaurant
6,28.563916575328275,77.21642203567984,Qureshi Kebab,28.56767019868431,77.21895102518423,485,Indian Restaurant
7,28.563916575328275,77.21642203567984,Qureshi's Kebab Corner,28.567655559834943,77.21906891938887,490,Indian Restaurant
8,28.563916575328275,77.21642203567984,The Arena,28.563862303401642,77.21973137035174,323,Multicuisine Indian Restaurant
9,28.563816287290805,77.22255201004155,Daitchi,28.56819754073076,77.22247657246882,487,Chinese Restaurant
10,28.56371572272947,77.22868195302902,Te Amo,28.562595330743655,77.22496078553377,384,Indian Restaurant
11,28.56371572272947,77.22868195302902,Te Amo Ansal Plaza,28.562683,77.22493,384,Indian Restaurant
12,28.56361488164948,77.23481186455597,Moolchand Parathe Wala,28.563551531054078,77.23429470072004,51,Indian Restaurant
13,28.56361488164948,77.23481186455597,Haldiram's,28.565236377008425,77.23816910709549,374,Indian Restaurant
14,28.56361488164948,77.23481186455597,Nizam's Kathi Kabab,28.566758665459037,77.23405175350277,357,Indian Restaurant
15,28.56361488164948,77.23481186455597,Southy,28.56289562615578,77.23812132191244,333,Indian Restaurant
16,28.56361488164948,77.23481186455597,Nizam's,28.566703265916846,77.23407420672022,351,Indian Restaurant
17,28.563513764056083,77.24094174453614,Haldiram's,28.565236377008425,77.23816910709549,332,Indian Restaurant
18,28.563513764056083,77.24094174453614,Chulha Chonkha,28.56382516618992,77.2414154006553,57,Indian Restaurant
19,28.563513764056083,77.24094174453614,The Colony Bistro,28.562757851459267,77.24445098931356,353,Café
20,28.563513764056083,77.24094174453614,Soya Express,28.561231,77.2410945,254,Indian Restaurant
21,28.563513764056083,77.24094174453614,Southy,28.56289562615578,77.23812132191244,284,Indian Restaurant
22,28.563513764056083,77.24094174453614,Nagpal Chole Bhature,28.563835809658503,77.24056328480142,51,North Indian Restaurant
23,28.563412369954516,77.24707159288327,The Colony Bistro,28.562757851459267,77.24445098931356,266,Café
24,28.563412369954516,77.24707159288327,Sagar Ratna,28.562248569150363,77.2447221437343,263,Indian Restaurant
25,28.563412369954516,77.24707159288327,Juneja Sweets,28.562387033537707,77.24449763205946,276,Indian Restaurant
26,28.563412369954516,77.24707159288327,Gopal Dhaba,28.566074811753623,77.24651260902766,301,Indian Restaurant
27,28.563412369954516,77.24707159288327,Delhicious Kitchen,28.56733722929428,77.24677079300025,437,Diner
28,28.568852943155644,77.20119453798124,Rajinder Da Dhaba,28.56526803045266,77.19913678473706,446,Indian Restaurant
29,28.568852943155644,77.20119453798124,Bengal Sweet Corner,28.566017007140655,77.19908237457275,377,Indian Restaurant
30,28.568852943155644,77.20119453798124,AYE1 Dhaba,28.565367,77.199309,429,Indian Restaurant
31,28.568753327141042,77.20732486160999,Navdanya Organic Cafe,28.57290267944336,77.20645141601562,469,Indian Restaurant
32,28.568753327141042,77.20732486160999,BijoliGrill,28.573012,77.206397,482,Indian Restaurant
33,28.568753327141042,77.20732486160999,Nagaland Cookhouse,28.573076,77.20634,490,Northeast Indian Restaurant
34,28.568653434536017,77.21345515407427,Qureishi's,28.565237045288086,77.21669006347656,494,Indian Restaurant
35,28.568653434536017,77.21345515407427,Voda Bar,28.56857997205528,77.21832990646362,476,Indian Restaurant
36,28.56855326534573,77.21958541528782,Bengali Sweets,28.569537550088498,77.22094000628562,171,Indian Restaurant
37,28.56855326534573,77.21958541528782,Moti Mahal Deluxe,28.568538860850442,77.21926835008128,31,Indian Restaurant
38,28.56855326534573,77.21958541528782,Bhel Puri,28.569345102375447,77.21971452842412,89,Indian Restaurant
39,28.56855326534573,77.21958541528782,Rang De Basanti Dhaba,28.568095688934903,77.22003452463856,67,Indian Restaurant
40,28.56855326534573,77.21958541528782,Pind Balluchi,28.569525094427163,77.22430105801577,473,Indian Restaurant
41,28.56855326534573,77.21958541528782,Daitchi,28.56819754073076,77.22247657246882,285,Chinese Restaurant
42,28.568452819575402,77.22571564516436,Bengali Sweets,28.569537550088498,77.22094000628562,482,Indian Restaurant
43,28.568452819575402,77.22571564516436,Al Jawahar,28.568823,77.22578,41,Indian Restaurant
44,28.568452819575402,77.22571564516436,Pind Balluchi,28.569525094427163,77.22430105801577,182,Indian Restaurant
