,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category,neigh_lat_lon
50,28.5682511,77.23797601,Bikanervala,28.57099185,77.23913168,325,Indian Restaurant,28.568251098315454-77.23797601056127
51,28.5682511,77.23797601,Haldiram's,28.56523638,77.23816911,336,Indian Restaurant,28.568251098315454-77.23797601056127
52,28.5682511,77.23797601,Nizam's Kathi Kabab,28.56675867,77.23405175,418,Indian Restaurant,28.568251098315454-77.23797601056127
53,28.5682511,77.23797601,Goli Vada Pao,28.57017076,77.23980524,278,Indian Restaurant,28.568251098315454-77.23797601056127
54,28.5682511,77.23797601,Bikanerwala,28.57099032,77.23912125,324,Indian Restaurant,28.568251098315454-77.23797601056127
55,28.5682511,77.23797601,Nizam's,28.56670327,77.23407421,418,Indian Restaurant,28.568251098315454-77.23797601056127
56,28.56814982,77.24410615,Beliram Decchiwala,28.56891632,77.24746943,339,Indian Restaurant,28.568149822836315-77.2441061459091
57,28.56814982,77.24410615,Goli Vada Pao,28.57017076,77.23980524,476,Indian Restaurant,28.568149822836315-77.2441061459091
58,28.56804827,77.25023625,Beliram Decchiwala,28.56891632,77.24746943,287,Indian Restaurant,28.568048270798062-77.25023624957481
59,28.56804827,77.25023625,Sethi Caterers & Restaurant,28.56797096,77.24680302,335,Indian Restaurant,28.568048270798062-77.25023624957481
60,28.56804827,77.25023625,Gopal Dhaba,28.56607481,77.24651261,425,Indian Restaurant,28.568048270798062-77.25023624957481
61,28.56804827,77.25023625,Delhicious Kitchen,28.56733723,77.24677079,347,Diner,28.568048270798062-77.25023624957481
62,28.56794644,77.25636632,Indian Accent,28.57042285,77.25675338,278,Indian Restaurant,28.56794644220599-77.25636632147214
63,28.56794644,77.25636632,The Manor Hotel,28.57045905,77.25679071,282,Hotel,28.56794644220599-77.25636632147214
64,28.56794644,77.25636632,In-Q - The Manor,28.570335,77.256656,267,Indian Restaurant,28.56794644220599-77.25636632147214
