,Unnamed: 0,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category,neigh_lat_lon
210,210,28.581853115829244,77.2658627804091,Haldirams,28.58430489541148,77.26190724167218,473,Indian Restaurant,28.581853115829244-77.2658627804091
211,211,28.581853115829244,77.2658627804091,haldirams,28.5781642984318,77.26296789863937,498,Indian Restaurant,28.581853115829244-77.2658627804091
212,212,28.587798894051133,77.18932215927863,Bikanervala,28.58539415667423,77.19142816862616,337,Indian Restaurant,28.587798894051133-77.18932215927863
213,213,28.587798894051133,77.18932215927863,The Potbelly,28.583796346289404,77.1878284612995,468,Indian Restaurant,28.587798894051133-77.18932215927863
214,214,28.587798894051133,77.18932215927863,Yashwant Place,28.584328859422836,77.19170870025458,451,Indian Restaurant,28.587798894051133-77.18932215927863
215,215,28.587798894051133,77.18932215927863,Chimney Sizzlers,28.58425712366592,77.19172105387057,458,Chinese Restaurant,28.587798894051133-77.18932215927863
216,216,28.58769975440676,77.19545363050652,Bikanervala,28.58539415667423,77.19142816862616,469,Indian Restaurant,28.58769975440676-77.19545363050652
217,217,28.587300427729605,77.21997920440258,Hot Chimney,28.58370160693686,77.22057434083216,404,Indian Restaurant,28.587300427729605-77.21997920440258
218,218,28.587300427729605,77.21997920440258,Jamun,28.584576,77.223303,444,Indian Restaurant,28.587300427729605-77.21997920440258
219,219,28.587300427729605,77.21997920440258,Dilli Dastarkhwan,28.590543815914646,77.22308847999311,471,Indian Restaurant,28.587300427729605-77.21997920440258
220,220,28.587199904061315,77.22611051969096,Delhi-o-Delhi,28.589280520232077,77.22584827793551,233,Indian Restaurant,28.587199904061315-77.22611051969096
221,221,28.587199904061315,77.22611051969096,tikka town,28.58622117012594,77.22647917615916,114,Indian Restaurant,28.587199904061315-77.22611051969096
222,222,28.587199904061315,77.22611051969096,Ganesha Sweets&Restaurants,28.586379,77.22625,92,Indian Restaurant,28.587199904061315-77.22611051969096
223,223,28.587199904061315,77.22611051969096,Jamun,28.584576,77.223303,400,Indian Restaurant,28.587199904061315-77.22611051969096
224,224,28.587199904061315,77.22611051969096,Carnatic Cafe,28.583904,77.2267,371,South Indian Restaurant,28.587199904061315-77.22611051969096
225,225,28.58689667234233,77.2445042765291,Monis Kada,28.591223,77.243997,484,Indian Restaurant,28.58689667234233-77.2445042765291
226,226,28.58689667234233,77.2445042765291,Vatika Grand,28.584128260509647,77.24849387588849,497,Indian Restaurant,28.58689667234233-77.2445042765291
227,227,28.58689667234233,77.2445042765291,"Kareems nizamuddin,  Delhi",28.591299035851705,77.24362203243963,497,Awadhi Restaurant,28.58689667234233-77.2445042765291
228,228,28.5867950415488,77.25063546551166,Comesum - The Food Junction,28.58970528985822,77.253211613099,410,Indian Restaurant,28.5867950415488-77.25063546551166
229,229,28.5867950415488,77.25063546551166,Aneja,28.589415,77.252629,350,Indian Restaurant,28.5867950415488-77.25063546551166
230,230,28.5867950415488,77.25063546551166,Vatika Grand,28.584128260509647,77.24849387588849,363,Indian Restaurant,28.5867950415488-77.25063546551166
231,231,28.5867950415488,77.25063546551166,Papu Kachori Pakode,28.58260748842925,77.24972303035811,474,Indian Restaurant,28.5867950415488-77.25063546551166
232,232,28.5867950415488,77.25063546551166,Hyderabad House,28.583601966727112,77.24973425545397,366,Hyderabadi Restaurant,28.5867950415488-77.25063546551166
233,233,28.5866931339871,77.25676662270195,Comesum - The Food Junction,28.58970528985822,77.253211613099,482,Indian Restaurant,28.5866931339871-77.25676662270195
234,234,28.58659094966254,77.26289774801361,Haldirams,28.58430489541148,77.26190724167218,272,Indian Restaurant,28.58659094966254-77.26289774801361
235,235,28.592732458163187,77.17408981560469,Bukhara,28.596914259545567,77.17335846829526,470,North Indian Restaurant,28.592732458163187-77.17408981560469
236,236,28.592732458163187,77.17408981560469,Pavilion,28.597175612322467,77.17354140226394,497,Indian Restaurant,28.592732458163187-77.17408981560469
237,237,28.592732458163187,77.17408981560469,Masala Art - Taj Palace Hotel,28.595007120309404,77.1706001073428,424,Indian Restaurant,28.592732458163187-77.17408981560469
238,238,28.592732458163187,77.17408981560469,ITC Maurya,28.59713,77.173643,491,Hotel,28.592732458163187-77.17408981560469
239,239,28.59253524796018,77.18635342469314,Pepper Bistro,28.593104011680257,77.18892216682434,258,Indian Restaurant,28.59253524796018-77.18635342469314
240,240,28.59243622754141,77.19248518294333,Sagar Ratna,28.595551410016437,77.19576360070631,472,Indian Restaurant,28.59243622754141-77.19248518294333
241,241,28.59243622754141,77.19248518294333,Pepper Bistro,28.593104011680257,77.18892216682434,356,Indian Restaurant,28.59243622754141-77.19248518294333
242,242,28.59233693025133,77.19861691021568,Sagar Ratna,28.595551410016437,77.19576360070631,453,Indian Restaurant,28.59233693025133-77.19861691021568
243,243,28.591936972481204,77.22314350779916,Delhi-o-Delhi,28.589280520232077,77.22584827793551,396,Indian Restaurant,28.591936972481204-77.22314350779916
244,244,28.591936972481204,77.22314350779916,Dilli Dastarkhwan,28.590543815914646,77.22308847999311,155,Indian Restaurant,28.591936972481204-77.22314350779916
245,245,28.591836290912184,77.22927507888673,Delhi-o-Delhi,28.589280520232077,77.22584827793551,439,Indian Restaurant,28.591836290912184-77.22927507888673
246,246,28.591836290912184,77.22927507888673,Dyal Singh College Canteen,28.595952671508183,77.22935894593881,458,Indian Restaurant,28.591836290912184-77.22927507888673
247,247,28.591735332503,77.23540661847825,Indian Accent,28.592025841987475,77.23800557290183,256,Indian Restaurant,28.591735332503-77.23540661847825
248,248,28.591735332503,77.23540661847825,Élan @ The Lodhi,28.591598725492823,77.23820746338278,274,Restaurant,28.591735332503-77.23540661847825
249,249,28.591735332503,77.23540661847825,On The Waterfront,28.592061411987267,77.23795124764315,251,Hotel Bar,28.591735332503-77.23540661847825
250,250,28.591735332503,77.23540661847825,The Lodhi Hotel,28.591668747194344,77.2381313007319,266,Hotel,28.591735332503-77.23540661847825
251,251,28.59163409725889,77.2415381264874,Indian Accent,28.592025841987475,77.23800557290183,348,Indian Restaurant,28.59163409725889-77.2415381264874
252,252,28.59163409725889,77.2415381264874,Karims,28.5913955903448,77.24365657296444,208,Indian Restaurant,28.59163409725889-77.2415381264874
253,253,28.59163409725889,77.2415381264874,Élan @ The Lodhi,28.591598725492823,77.23820746338278,325,Restaurant,28.59163409725889-77.2415381264874
254,254,28.59163409725889,77.2415381264874,On The Waterfront,28.592061411987267,77.23795124764315,353,Hotel Bar,28.59163409725889-77.2415381264874
255,255,28.59163409725889,77.2415381264874,The Lodhi Hotel,28.591668747194344,77.2381313007319,333,Hotel,28.59163409725889-77.2415381264874
256,256,28.59163409725889,77.2415381264874,Aap Ki Khatir,28.59286083208636,77.24133758484983,137,Indian Restaurant,28.59163409725889-77.2415381264874
257,257,28.59163409725889,77.2415381264874,Tahir Kabab Corner,28.59172882171536,77.24453692163345,293,Indian Restaurant,28.59163409725889-77.2415381264874
258,258,28.59163409725889,77.2415381264874,Slice of Italy,28.59301451828417,77.24201917648315,160,Pizza Place,28.59163409725889-77.2415381264874
259,259,28.591532585185128,77.24766960282778,Karims,28.5913955903448,77.24365657296444,392,Indian Restaurant,28.591532585185128-77.24766960282778
260,260,28.591532585185128,77.24766960282778,Tahir Kabab Corner,28.59172882171536,77.24453692163345,306,Indian Restaurant,28.591532585185128-77.24766960282778
261,261,28.59143079628697,77.25380104741308,Comesum - The Food Junction,28.58970528985822,77.253211613099,200,Indian Restaurant,28.59143079628697-77.25380104741308
262,262,28.59143079628697,77.25380104741308,Aneja,28.589415,77.252629,251,Indian Restaurant,28.59143079628697-77.25380104741308
263,263,28.597370172473,77.1772523577954,Dum Pukht,28.597194019454648,77.17328824799445,387,Indian Restaurant,28.597370172473-77.1772523577954
264,264,28.597370172473,77.1772523577954,Bukhara,28.596914259545567,77.17335846829526,383,North Indian Restaurant,28.597370172473-77.1772523577954
265,265,28.597370172473,77.1772523577954,Pavilion,28.597175612322467,77.17354140226394,363,Indian Restaurant,28.597370172473-77.1772523577954
266,266,28.597370172473,77.1772523577954,ITC Maurya,28.59713,77.173643,353,Hotel,28.597370172473-77.1772523577954
267,267,28.59707346905839,77.19564849367352,Sagar Ratna,28.595551410016437,77.19576360070631,169,Indian Restaurant,28.59707346905839-77.19564849367352
268,268,28.59707346905839,77.19564849367352,The Oudh,28.59645303337417,77.19540351311272,73,Indian Restaurant,28.59707346905839-77.19564849367352
269,269,28.59707346905839,77.19564849367352,Ashoka hotel,28.59750442905433,77.19570672972347,48,Indian Restaurant,28.59707346905839-77.19564849367352
270,270,28.59707346905839,77.19564849367352,Odisha Niwas Canteen,28.600670011903567,77.19718349583063,427,Indian Restaurant,28.59707346905839-77.19564849367352
271,271,28.59707346905839,77.19564849367352,S Nom Nom,28.59709306306665,77.19641423213184,74,Chinese Restaurant,28.59707346905839-77.19564849367352
272,272,28.59677427334272,77.21404435030978,Dhaba by Claridges,28.600633368284303,77.21655356969086,494,North Indian Restaurant,28.59677427334272-77.21404435030978
273,273,28.5965734249896,77.22630809844779,Khan Chacha,28.600618250461437,77.22723729363604,459,Indian Restaurant,28.5965734249896-77.22630809844779
274,274,28.5965734249896,77.22630809844779,Wok In The Clouds,28.600501884081112,77.22722973943226,446,Indian Restaurant,28.5965734249896-77.22630809844779
275,275,28.5965734249896,77.22630809844779,The Big Chill Cafe,28.60068629868818,77.22763621585838,475,Italian Restaurant,28.5965734249896-77.22630809844779
276,276,28.5965734249896,77.22630809844779,Cafe Turtle,28.60015919868491,77.22723799043102,409,Café,28.5965734249896-77.22630809844779
277,277,28.5965734249896,77.22630809844779,Azam's Mughlai,28.60011003672637,77.22614797006254,394,Indian Restaurant,28.5965734249896-77.22630809844779
278,278,28.5965734249896,77.22630809844779,SODABOTTLEOPENERWALA,28.60014086980492,77.22627303643019,397,Irani Cafe,28.5965734249896-77.22630809844779
279,279,28.59647258546586,77.23243992537179,DGC Tea Hut On 14th,28.59525,77.232735,139,Indian Restaurant,28.59647258546586-77.23243992537179
280,280,28.59647258546586,77.23243992537179,Dyal Singh College Canteen,28.595952671508183,77.22935894593881,306,Indian Restaurant,28.59647258546586-77.23243992537179
281,281,28.596371469050972,77.23857172075067,Indian Accent,28.592025841987475,77.23800557290183,486,Indian Restaurant,28.596371469050972-77.23857172075067
282,282,28.596371469050972,77.23857172075067,On The Waterfront,28.592061411987267,77.23795124764315,483,Hotel Bar,28.596371469050972-77.23857172075067
283,283,28.596371469050972,77.23857172075067,Omya,28.596531,77.239589,101,Indian Restaurant,28.596371469050972-77.23857172075067
284,284,28.596371469050972,77.23857172075067,Aap Ki Khatir,28.59286083208636,77.24133758484983,475,Indian Restaurant,28.596371469050972-77.23857172075067
285,285,28.5962700757502,77.244703484498,Omya,28.596531,77.239589,500,Indian Restaurant,28.5962700757502-77.244703484498
